TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,price_inr,TouchScreen,HDD,SSD,SSHD,FStorage
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.18,57816,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.24,49720,No,1000,0,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i5,8,Windows 10,2.67,70312,Yes,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.1,131912,Yes,0,1000,0,0
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,41096,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,89584,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.05,77440,No,0,256,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,172383,No,0,512,0,0
Gaming,17.3,1920x1080,AMD Ryzen,16,Windows 10,3.2,136312,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.14,64686,No,0,256,0,0
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.36,219912,Yes,0,512,0,0
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.2,71456,No,500,0,0,0
Notebook,15.6,1366x768,Intel i7,12,Windows 10,2.3,62750,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i7,8,Linux,2.8,96712,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,65560,No,1000,0,0,0
Notebook,17.3,1600x900,Intel i3,4,Windows 10,2.8,43032,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.8,74712,No,2000,0,0,0
Notebook,17.3,1600x900,Intel i7,6,Windows 10,2.8,75592,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.25,37664,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,72952,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,2.2,50952,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,3,83688,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,12,Windows 10,2.15,57992,Yes,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.95,96536,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.7,85976,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.5,103752,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,No OS,2.2,57993,No,1000,0,0,0
Notebook,15.6,1366x768,Intel Celeron,2,Chrome OS,2.19,17512,No,0,16,0,0
Gaming,17.3,1920x1080,Intel i7,8,Windows 10,3,104456,No,1000,0,0,0
Notebook,17.3,1600x900,Intel i3,8,Windows 10,2.54,43032,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2,160952,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.05,65032,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,3.2,114312,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.5,86152,No,0,256,0,0
Workstation,17.3,1920x1080,Intel i7,16,Windows 10,3.42,253868,No,0,256,0,0
Notebook,15.6,1920x1080,AMD A10,6,Windows 10,2.4,43912,No,1000,0,0,0
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.63,129184,No,0,512,0,0
Notebook,14.0,1366x768,Intel i3,4,Windows 10,1.3,44792,No,0,128,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,186736,No,1000,256,0,0
Notebook,17.3,1600x900,Intel i5,6,Windows 10,2.8,57112,No,1000,0,0,0
Notebook,15.6,1366x768,Intel i5,8,No OS,2.2,48312,No,2000,0,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.5,111320,No,1000,128,0,0
Notebook,15.6,1366x768,Intel Pentium,4,No OS,2.2,31679,No,1000,0,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,16,Windows 10,1.28,173800,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,91784,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.3,72072,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.86,41272,No,1000,0,0,0
Notebook,13.3,1920x1080,Intel i5,8,Windows 10,1.1,87912,No,0,256,0,0
Ultrabook,13.3,3840x2160,Intel i7,16,Windows 10,1.21,219912,Yes,0,1000,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.8,184712,No,1000,256,0,0
Notebook,15.6,1920x1080,AMD A8,8,Windows 10,2.23,41272,No,0,256,0,0
2 in 1 Convertible,11.6,1366x768,Intel Celeron,2,Windows 10,1.1,24200,Yes,0,0,0,32
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.33,74272,No,1000,128,0,0
2 in 1 Convertible,13.3,3840x2160,Intel i7,16,Windows 10,1.29,215512,Yes,0,1000,0,0
Notebook,13.3,1366x768,Intel Celeron,4,Chrome OS,1.45,40471,No,0,0,0,16
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.95,86240,No,0,256,0,0
Notebook,11.6,1366x768,Intel Pentium,4,Windows 10,1.4,42680,No,0,0,0,128
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.48,113696,No,0,256,0,0
Notebook,17.3,1600x900,Intel i5,4,Windows 10,2.79,51832,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,2,96272,No,0,256,0,0
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.1,79376,No,1000,0,0,0
Notebook,15.6,1366x768,AMD A12,8,Windows 10,2.2,57992,No,0,256,0,0
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,25696,No,0,0,0,32
Notebook,15.6,1366x768,Intel i5,6,Windows 10,2.23,48312,No,1000,0,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.7,92391,No,0,256,0,0
Ultrabook,12.5,1920x1080,Intel i7,8,Windows 10,1.26,117480,No,0,256,0,0
Notebook,15.6,3840x2160,Intel i7,32,Windows 10,2.06,232232,Yes,0,1000,0,0
Gaming,17.3,1920x1080,Intel i7,8,Windows 10,2.7,105512,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.0,82984,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,2,117392,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.85,39512,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.5,87912,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.48,111584,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.9,92312,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.84,100672,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,Linux,2,24199,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2,100562,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,Linux,2.2,24191,No,500,0,0,0
Notebook,15.6,1920x1080,AMD A12,12,Windows 10,2.2,79112,No,2000,0,0,0
Notebook,15.6,1920x1080,Intel i3,8,Windows 10,2.1,63008,No,1000,0,0,0
2 in 1 Convertible,13.9,3840x2160,Intel i7,16,Windows 10,1.4,184712,Yes,0,512,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,138952,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.4,99352,No,2000,256,0,0
Notebook,14.0,1366x768,Intel Celeron,2,Windows 10,1.44,24552,No,0,0,0,32
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.88,141500,No,0,768,0,0
2 in 1 Convertible,11.6,1366x768,Intel Celeron,4,Windows 10,1.5,33000,Yes,0,0,0,32
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.9,58344,No,1000,0,0,0
Notebook,15.6,3840x2160,Intel i7,16,Windows 10,2.06,178413,Yes,0,512,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.84,114752,No,0,256,0,0
Gaming,17.3,1920x1080,Intel i7,8,Windows 10,2.7,123992,No,1000,128,0,0
Workstation,15.6,1920x1080,Intel i7,8,Windows 10,2.6,152968,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.4,123464,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.02,85439,No,2000,128,0,0
Notebook,15.6,1366x768,Intel Celeron,4,No OS,2.2,28335,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.65,87912,No,1000,0,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.36,49049,Yes,2000,0,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.36,125576,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,1.86,38632,No,500,0,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,2,83160,No,0,256,0,0
Notebook,17.3,1600x900,Intel i5,6,Windows 10,2.8,63272,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.86,56232,No,1000,0,0,0
Notebook,15.6,1366x768,Intel i3,8,No OS,2.2,43912,No,0,256,0,0
Notebook,15.6,1366x768,Intel Pentium,8,Windows 10,2.04,34232,No,2000,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.8,95480,No,1000,128,0,0
Gaming,15.6,1920x1080,Intel i5,8,No OS,2.4,71192,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.33,79112,No,0,256,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.36,154000,No,0,256,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i7,12,Windows 10,2.26,96712,Yes,2000,512,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,37488,No,0,128,0,0
Gaming,17.3,1920x1080,AMD Ryzen,16,Windows 10,3.25,193512,No,1000,256,0,0
Notebook,17.3,1600x900,AMD A8,4,Windows 10,2.6,43032,No,0,128,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.62,76473,Yes,0,256,0,0
Notebook,15.6,1920x1080,AMD A9,4,Windows 10,1.91,43031,No,0,256,0,0
Netbook,11.6,1366x768,Intel Celeron,4,Windows 10,1.59,48664,No,0,128,0,0
Notebook,15.6,1366x768,Intel Celeron,4,Windows 10,1.8,27192,No,500,0,0,0
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.5,25168,No,0,0,0,32
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.4,74448,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,8,Windows 10,3.35,104808,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,1.85,35508,No,0,128,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.3,145640,No,1000,128,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.5,96712,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i7,16,Windows 10,1.1,153903,Yes,0,512,0,0
Ultrabook,14.0,2560x1440,Intel i7,8,Windows 10,1.13,200816,No,0,512,0,0
Notebook,13.3,1920x1080,Intel i3,4,Windows 10,1.5,48312,No,0,128,0,0
Workstation,15.6,1920x1080,Intel i5,8,Windows 10,2.23,120472,No,500,0,0,0
Workstation,15.6,1920x1080,Intel i7,8,Windows 10,2,187880,No,0,256,0,0
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.42,220792,Yes,0,512,0,0
Gaming,17.3,1920x1080,Intel i7,8,Windows 10,3,91432,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3,140008,No,1000,256,0,0
Notebook,15.6,1366x768,Intel i5,12,Windows 10,2.2,61071,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,8,Windows 10,2.7,118712,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.33,68541,No,0,256,0,0
Ultrabook,15.6,1920x1080,AMD A9,4,Windows 10,1.91,43912,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.1,108201,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.9,82544,No,0,256,0,0
Workstation,15.6,3840x2160,Intel i7,8,Windows 10,1.78,238656,Yes,0,256,0,0
Ultrabook,14.0,2560x1440,Intel i7,16,Windows 10,1.13,231000,No,0,1000,0,0
Notebook,15.6,1366x768,Intel Celeron,4,Windows 10,2.2,26928,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,134552,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,100716,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.5,77352,No,0,256,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.8,197912,No,1000,256,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.10,164824,No,0,512,0,0
Ultrabook,13.3,1920x1080,Intel i7,16,Windows 10,1.2,153736,No,0,512,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.36,147840,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,35992,No,500,0,0,0
Notebook,11.6,1366x768,Intel Celeron,2,Windows 10,1.15,26792,No,0,0,0,32
Workstation,15.6,1920x1080,Intel i7,8,Windows 10,2.67,169400,No,0,512,0,0
Ultrabook,14.0,2560x1440,Intel i7,8,Windows 10,1.7,170984,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.1,41272,No,1000,0,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.6,69433,Yes,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.27,81664,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,4,Linux,2.3,52703,No,0,256,0,0
Notebook,13.3,1366x768,Intel i3,4,Windows 10,1.65,60632,No,0,128,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.43,132000,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.14,47516,No,1000,0,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.75,106953,No,0,256,0,0
2 in 1 Convertible,15.6,3840x2160,Intel i7,16,Windows 10,2,167112,Yes,0,512,0,0
Notebook,12.3,2736x1824,Intel Celeron,6,Windows 10,1.4,39512,No,0,0,0,64
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.31,125576,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,8,Linux,2.3,52536,No,1000,0,0,0
Gaming,17.3,2560x1440,Intel i7,16,Windows 10,4.42,246312,No,1000,256,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.62,101992,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.02,100531,No,2000,256,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Linux,1.6,96712,No,0,256,0,0
Gaming,17.3,1920x1080,Intel i7,12,Windows 10,3.35,175912,No,1000,256,0,0
2 in 1 Convertible,11.6,1920x1080,Intel Celeron,4,Windows 10,1.16,26312,Yes,0,32,0,0
Netbook,11.6,1366x768,Intel Celeron,4,Chrome OS,1.15,23672,No,0,0,0,16
Notebook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,88880,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i3,4,Windows 10,1.7,52712,No,0,128,0,0
Workstation,15.6,3840x2160,Intel i7,16,Windows 10,2.3,215160,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.5,215512,No,0,512,0,0
Gaming,17.3,1920x1080,AMD Ryzen,8,Windows 10,3.2,149160,No,1000,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,Windows 10,2.1,30536,No,500,0,0,0
Ultrabook,12.3,2400x1600,Intel i7,16,Chrome OS,1.1,193512,Yes,0,512,0,0
Ultrabook,14.0,2560x1440,Intel i7,24,Windows 10,1.32,209616,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i5,4,Linux,2,49192,No,0,256,0,0
Notebook,17.3,1600x900,AMD A6,8,Windows 10,2.8,45672,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.2,65912,No,0,256,0,0
Ultrabook,12.5,1920x1080,Intel i5,8,Windows 10,1.36,125752,No,0,256,0,0
Notebook,15.6,1920x1080,Intel Pentium,4,Windows 10,2.2,30712,No,0,128,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.2,96712,No,1000,128,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.64,103752,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,4,Linux,2.4,38878,No,500,0,0,0
Workstation,15.6,1920x1080,Intel Xeon,8,Windows 10,2.23,175384,No,1000,0,0,64
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.2,90441,No,0,256,0,0
Ultrabook,13.5,2256x1504,Intel i7,16,Windows 10 S,1.25,227832,Yes,0,512,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,1.91,51832,No,0,128,0,0
Workstation,15.6,1920x1080,Intel i7,16,Windows 10,2.17,173800,No,0,256,0,0
Workstation,15.6,1920x1080,Intel i7,8,Windows 10,2.31,134992,No,0,512,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.65,118360,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.36,86152,No,1000,128,0,0
2 in 1 Convertible,11.6,1366x768,Intel Pentium,4,Windows 10,1.47,42152,Yes,500,0,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,4.42,180048,No,1000,0,0,0
Ultrabook,13.5,2256x1504,Intel M ,4,Windows 10 S,1.25,87032,Yes,0,128,0,0
Ultrabook,13.5,2256x1504,Intel i7,8,Windows 10 S,1.25,158312,Yes,0,256,0,0
Notebook,17.3,1600x900,Intel i3,8,Windows 10,2.5,56311,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.23,47872,No,1000,0,0,0
Netbook,11.6,1366x768,Intel Celeron,4,Windows 10,1.4,38280,No,0,128,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.37,65912,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i7,8,No OS,1.5,70312,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.67,183920,No,0,256,0,0
Notebook,15.6,1366x768,Intel Pentium,4,Windows 10,2,26752,No,500,0,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.2,41272,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.02,66792,No,2000,0,0,0
Gaming,17.3,1920x1080,Intel i7,12,Windows 10,3.78,149512,No,1000,0,0,0
Ultrabook,14.0,2560x1440,Intel i7,12,Windows 10,1.4,163504,No,0,256,0,0
2 in 1 Convertible,13.3,3840x2160,Intel i7,8,Windows 10,1.29,175912,Yes,0,512,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.9,101552,No,500,0,0,0
Ultrabook,12.3,2400x1600,Intel i5,8,Chrome OS,1.1,112200,Yes,0,128,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.42,162083,Yes,0,256,0,0
Notebook,15.6,3840x2160,Intel i7,12,Windows 10,2.06,114312,No,1000,128,0,0
Notebook,14.0,1366x768,Intel i3,8,Windows 10,1.79,65120,No,0,128,0,0
Workstation,15.6,1920x1080,Intel i7,8,Windows 10,1.78,211904,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.7,120032,No,0,180,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.2,59400,No,1000,0,0,0
Notebook,13.3,1920x1080,Intel i5,8,Windows 10,1.05,147136,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.16,111056,No,0,512,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.18,51621,No,1000,0,0,0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,63888,No,0,128,0,0
Notebook,15.6,1920x1080,Intel Atom,4,Windows 10,1.89,21903,No,0,0,0,64
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.3,49720,No,0,128,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.75,92312,No,0,256,0,0
Workstation,15.6,1920x1080,Intel i7,16,Windows 10,2.17,205744,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.06,167112,No,0,512,0,0
Ultrabook,12.5,1920x1080,Intel i7,16,Windows 10,1.36,158224,No,0,512,0,0
Ultrabook,12.5,1920x1080,Intel i7,16,Windows 10,0.91,171600,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.3,89055,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i7,32,Windows 10,1.05,246312,Yes,0,512,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,1.99,118800,No,1000,128,0,0
Notebook,15.6,1366x768,AMD A10,8,Windows 10,2.2,50952,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,24,Windows 10,4.33,111672,Yes,1000,256,0,0
Ultrabook,12.5,1366x768,Intel i5,8,Windows 10,1.3,96712,No,0,180,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.17,79103,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.48,153912,No,0,1000,0,0
Notebook,13.3,1920x1080,Intel i3,8,Windows 10,1.4,83512,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.3,80168,No,0,256,0,0
Netbook,11.6,1366x768,Intel Celeron,4,Windows 10 S,1.2,29920,No,0,0,0,64
Notebook,15.6,1366x768,Intel i5,8,Windows 10,1.91,54471,No,0,256,0,0
2 in 1 Convertible,13.9,1920x1080,Intel i5,8,Windows 10,1.4,140712,Yes,0,256,0,0
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,2.1,26312,No,500,0,0,0
Netbook,11.6,1366x768,Intel Celeron,4,Chrome OS,1.25,23320,No,0,16,0,0
Notebook,13.3,1920x1080,Intel i5,8,Windows 10,1.44,83512,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2,107712,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.2,53944,No,1000,0,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.34,116424,No,0,512,0,0
Gaming,15.6,1920x1080,Intel i7,8,No OS,2.4,101112,No,1000,256,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.29,79112,Yes,0,128,0,0
Notebook,15.6,1920x1080,Intel i7,4,Windows 10,2.2,56232,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.18,73568,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.2,107293,No,2000,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,No OS,1.95,123196,No,0,256,0,0
Netbook,11.6,1366x768,Intel Celeron,2,Windows 10,1.1,21560,No,0,0,0,32
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.04,45889,Yes,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,24,Windows 10,2.24,261184,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.04,78232,No,0,256,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3,132352,No,1000,256,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,3.2,123112,No,1000,256,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.32,123112,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.64,112616,No,0,256,0,0
